Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Latitude,Longitude
1001444,110000522113,AES Alamitos,LONG BEACH,CA,90803,690 N STUDEBAKER ROAD,LOS ANGELES COUNTY,221112,"C,D",Power Plants,1512393.796,1510858.3,700.5,33.77,-118.10
1001447,110002921713,AES Huntington Beach,HUNTINGTON BEACH,CA,92646,21730 NEWLAND ST,ORANGE COUNTY,221112,"C,D",Power Plants,1501324.036,1499799.5,695.5,33.64,-117.98
1001450,110014322170,AES Redondo Beach,REDONDO BEACH,CA,90277,1100 N HARBOR DRIVE,LOS ANGELES COUNTY,221112,D,Power Plants,192627.088,192432,89,33.85,-118.40
1006430,110070835034,"AIR LIQUID LARGE INDUSTRIES US, LP",EL SEGUNDO,CA,90245,324 W EL SEGUNDO BLVD,LOS ANGELES COUNTY,325120,P,Chemicals,532253.6,532253.6,,33.91,-118.40
1003748,110041623641,AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,RODEO,CA,94572,1391 SAN PABLO AVE,CONTRA COSTA COUNTY,325120,P,Chemicals,815291.7,815291.7,,38.05,-122.26
1002121,110000483227,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,MARTINEZ,CA,94553,110 WATERFRONT RD,CONTRA COSTA COUNTY,325120,P,Chemicals,664568.2,664568.2,,38.03,-122.08
1002122,110071160496,"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",MARTINEZ,CA,94553,,CONTRA COSTA COUNTY,325120,P,Chemicals,0,0,,38.03,-122.07
1002123,110000750358,AIR PRODUCTS AND CHEMICALS INCORPORATED,SACRAMENTO,CA,95826,5025 83RD STREET,SACRAMENTO COUNTY,325120,P,Chemicals,47413.7,47413.7,,38.53,-121.40
1002257,110002305443,AIR PRODUCTS CARSON HYDROGEN PLANT,CARSON,CA,90810,23300 SOUTH ALAMEDA STREET,LOS ANGELES COUNTY,325120,P,Chemicals,711592.7,711592.7,,33.81,-118.23
1002435,110000476084,AIR PRODUCTS WILMINGTON HYDROGEN PLANT,WILMINGTON,CA,90744,700 HENRY FORD AVENUE,LOS ANGELES COUNTY,325120,P,Chemicals,688241.452,687413,232.75,33.78,-118.24
1004335,110043796942,ALL PURPOSE LANDFILL,SANTA CLARA,CA,95050,5401 Lafayette Street,SANTA CLARA COUNTY,562212,HH,Waste,47082.25,,47082.25,37.41,-121.97
1006197,110001167745,ALLIED IMPERIAL LANDFILL,IMPERIAL,CA,92251,104 EAST ROBINSON ROAD,IMPERIAL COUNTY,562212,HH,Waste,26325.5,,26325.5,32.85,-115.48
1004417,110013667488,AMERICAN AVENUE LANDFILL,KERMAN,CA,93630,18950 W AMERICAN AVENUE,FRESNO COUNTY,562212,"C,HH",Waste,110383.5,0,110383.5,36.67,-120.14
1007839,110002690730,ANDERSON LANDFILL,ANDERSON,CA,96007,18703 CAMBRIDGE ROAD,SHASTA COUNTY,562212,HH,Waste,37709.5,,37709.5,40.42,-122.36
1002867,110017431322,ANHEUSER BUSCH INC. - L.A. BREWERY,VAN NUYS,CA,91406,15800 ROSCOE BOULEVARD,LOS ANGELES COUNTY,312120,C,Other,31267.998,31207.2,23.25,34.22,-118.48
1007710,110038067472,ANTELOPE VALLEY RECYCLING AND DISPOSAL FACILITY,PALMDALE,CA,93551,1200 WEST CITY RANCH ROAD,LOS ANGELES COUNTY,562212,"C,HH",Waste,51915.25,112,51803.25,34.57,-118.15
1003328,110043803630,AVENAL REGIONAL LANDFILL,AVENAL,CA,93204,1200 Skyline Blvd,KINGS COUNTY,562212,HH,Waste,20199.75,,20199.75,36.01,-120.12
1007682,110001150227,AZUSA LAND RECLAMATION CO INC INERT LF,AZUSA,CA,91702,1211 W GLADSTONE ST,LOS ANGELES COUNTY,562212,"C,HH",Waste,116148.5,181,115967.5,34.11,-117.93
1012089,,"Aemetis Advanced Fuels Keyes, Inc.",Ceres,CA,95307,4209 Jessup Road,STANISLAUS COUNTY,325193,"C,PP","Other,Suppliers of CO2",74282.456,74192.2,39,37.55,-120.92
1002316,110043804425,Aera Energy 25 Hill,Maricopa,CA,93252,29235 Highway 33,KERN COUNTY,211120,C,Petroleum and Natural Gas Systems,73893.22,73816.5,35,35.09,-119.41
1002156,110066768108,Aera Energy Alberta Finley Shale,Fellows,CA,93224,25401 Highway 33,KERN COUNTY,211120,C,Petroleum and Natural Gas Systems,105906.152,105797.1,49.75,35.23,-119.58
1006844,110070081958,Aera Energy Anderson Fitzgerald,McKittrick,CA,93251,59231 Main Camp Road,KERN COUNTY,211120,C,Petroleum and Natural Gas Systems,223856.156,223624.9,105.5,35.30,-119.74
1006845,110043799752,Aera Energy Belridge,McKittrick,CA,93251,59231 Main Camp Road,KERN COUNTY,211120,C,Petroleum and Natural Gas Systems,1459910.352,1458403.9,687.25,35.45,-119.72
1003702,110043802757,Aera Energy Buena Fe,Maricopa,CA,93252,29235 Highway 33,KERN COUNTY,211120,C,Petroleum and Natural Gas Systems,10345.812,10335.4,4.75,35.09,-119.41
1002315,110043797308,Aera Energy Calso,McKittrick,CA,93251,59231 Main Camp Road,KERN COUNTY,211120,C,Petroleum and Natural Gas Systems,42868.088,42823.7,20.25,35.30,-119.74
1006405,110070131883,Aera Energy Coalinga,Coalinga,CA,93210,29010 Shell Road,FRESNO COUNTY,211120,C,Petroleum and Natural Gas Systems,167456.62,167284,78.75,36.24,-120.32
1012480,110070082316,Aera Energy Lockwood,Maricopa,CA,93525,29235 Highway 33,KERN COUNTY,211120,C,Petroleum and Natural Gas Systems,7844.42,7836.2,3.75,35.09,-119.41
1005790,110043793543,Aera Energy Lost Hills,McKittrick,CA,93251,59231 Main Camp Road,KERN COUNTY,211120,C,Petroleum and Natural Gas Systems,130841.108,130706.3,61.5,35.30,-119.74
1006914,110043793552,Aera Energy MOCO,Maricopa,CA,93252,29235 Highway 33,KERN COUNTY,211120,C,Petroleum and Natural Gas Systems,127122.172,126991.2,59.75,35.09,-119.41
1005635,110043802757,Aera Energy Metson,Maricopa,CA,93252,29235 Highway 33,KERN COUNTY,211120,C,Petroleum and Natural Gas Systems,22711.464,22687.9,10.75,35.09,-119.41
1012475,110070131883,Aera Energy Penn Zier,Coalinga,CA,93210,29010 Shell Road,FRESNO COUNTY,211120,C,Petroleum and Natural Gas Systems,31542.332,31510,14.75,36.26,-120.44
1006846,110001175530,Aera Energy San Ardo,San Ardo,CA,93450,66893 Sargent Road,MONTEREY COUNTY,211120,C,Petroleum and Natural Gas Systems,228775.488,228539.3,107.75,35.95,-120.86
1009944,110066768108,Aera Energy Wier Gore Maxwell,Fellows,CA,93224,25401 Highway 33,KERN COUNTY,211120,C,Petroleum and Natural Gas Systems,57457.884,57398.7,27,35.23,-119.58
1000423,110038082302,Agua Mansa Power,COLTON,CA,92324,2040 AGUA MANSA ROAD,SAN BERNARDINO COUNTY,221112,D,Power Plants,7742.672,7735,3.5,34.04,-117.36
1014323,,Air Products West Coast Hydrogen - HP-1,Martinez,CA,94553,3485 Pacheco Blvd.,CONTRA COSTA COUNTY,325120,P,Chemicals,473077.6,473077.6,,38.01,-122.11
1014324,,Air Products West coast Hydrogen - HP-2,Martinez,CA,94553,1915 Shell Avenue,CONTRA COSTA COUNTY,325120,P,Chemicals,364780.5,364780.5,,38.02,-122.12
1005044,110043805790,"Algonquin Power Sanger, LLC",Sanger,CA,93657,1125 Muscat Avenue,FRESNO COUNTY,221112,"C,D",Power Plants,66763.256,66696.4,30.5,36.69,-119.55
1007315,110021087517,Almond Power Plant,MODESTO,CA,95358,4500 CROWS LANDING ROAD,STANISLAUS COUNTY,221112,D,Power Plants,228459.504,228227.7,105.75,37.57,-120.99
1003689,110069522662,Alon Bakersfield Refining,Bakersfield,CA,93308,6451 Rosedale Highway,KERN COUNTY,324110,C,Petroleum and Natural Gas Systems,17355.484,17337.4,8.25,35.38,-119.07
1001625,110000508086,AltaGas Ripon Energy Inc.,Ripon,CA,95366,944 South Stockton Ave.,SAN JOAQUIN COUNTY,221112,C,Power Plants,2388.792,2386.6,1,37.73,-121.12
1007699,110060864462,Altamont Landfill & Resource Recovery Facility,Livermore,CA,94551,10840 Altamont Pass Road,ALAMEDA COUNTY,562212,"C,HH",Waste,153518.76,506.1,152887.5,37.72,-121.68
1004465,110071160590,American Canyon Landfill,American Canyon,CA,94503,,NAPA COUNTY,562212,HH,Waste,41859.75,,41859.75,38.18,-122.28
1012548,110001158167,Arcosa Lightweight - Frazier Park,Frazier Park,CA,93225,17410 E Lockwood Valley Rd,VENTURA COUNTY,212325,C,Other,20957.372,20936,9.75,34.77,-119.04
1000005,110000482022,Ardagh Glass Inc. (Madera),MADERA,CA,93637,24441 AVENUE 12 & ROAD 24 1/2,MADERA COUNTY,327213,"C,N",Minerals,78060.732,78001,27.25,36.92,-120.10
1005872,110008262851,"B BRAUN MEDICAL, INC",IRVINE,CA,92614,2525 MCGAW AVE,ORANGE COUNTY,325412,C,Chemicals,54743.644,54687.2,25.75,33.69,-117.84
1002728,110028037363,BADGER CREEK LIMITED,BAKERSFIELD,CA,93308,34759 LENCIONI AVE,KERN COUNTY,221112,D,Power Plants,7686.672,7679,3.5,35.45,-119.09
1000046,110017973335,BADLANDS SANITARY LANDFILL,MORENO VALLEY,CA,92555,31125 IRONWOOD AVENUE,RIVERSIDE COUNTY,562212,HH,Waste,88809.25,,88809.25,33.95,-117.12
1002896,110063276119,BAKERSFIELD METROPOLITAN SANITARY LANDFILL,Edison,CA,93220,2951 Neumarkel Road,KERN COUNTY,562212,HH,Waste,48483.5,,48483.5,35.42,-118.71
1004406,110043810944,BARSTOW SANITARY LANDFILL,BARSTOW,CA,92311,"32553 BARSTOW ROAD, 5 MILES S OF BARSTOW",SAN BERNARDINO COUNTY,562212,"C,HH",Waste,43847.3,37.8,43809.5,34.84,-117.02
1006139,110028037363,BEAR MOUNTAIN LIMITED,BAKERSFIELD,CA,93308,34759 LENCIONI AVE,KERN COUNTY,221112,D,Power Plants,25146.556,25120.8,11.75,35.45,-119.09
1011449,110000782840,BKK Corporation,West Covina,CA,91792,2210 S. Azusa Ave.,LOS ANGELES COUNTY,562212,HH,Waste,293641.5,,293641.5,34.04,-117.90
